k,rand,google1,foursquare1,avghours,pop_avg1,pfgh,pfgh_weighted,ndcg_rand,g_ndcg,f_ndcg,h_ndcg,p_ndcg,pfgh_ndcg
1,100,100,100,100,100,100,100,1,1,1,1,1,1
2,50,53.04,56.1,56,67.36,68.54,70.191391391391,0.81537500497923,0.82606003186084,0.83754950805312,0.83730688990848,0.87925454511463,0.88350170167204
3,33.3333333333333,36.84,39.27,39.95,51.99,54.33,55.398465131798,0.71027156980183,0.72727440125903,0.73977266504226,0.74305142663418,0.79962683996425,0.80801499721404
4,25,28.38,30.15,31.12,42.68,45.93,46.681481481481,0.64018716952248,0.66079375876939,0.67224306871546,0.67731090323027,0.7420128894278,0.75122070284191
5,20,23.13,24.84,25.52,35.94,39.74,40.284150817484,0.58959081415911,0.61166387496031,0.62470503095824,0.62837334885932,0.69516735548307,0.70835171577363
6,16.6666666666667,19.51,20.94,21.7,31.66,35.15,35.731931931932,0.55094523412795,0.57301955575929,0.58582548332091,0.59002564147418,0.66032743173193,0.67210578568051
7,14.2857142857143,17.02,18.17,18.87,27.84,31.55,32.027827827828,0.51979064719439,0.54244554876924,0.55536052850694,0.55914894907006,0.62838872518293,0.64339988783801
8,12.5,14.98,16.07,16.74,24.85,28.8,29.187187187187,0.49390121173191,0.51688790679554,0.52967257881851,0.53329372439994,0.60152252101436,0.61908644681577
9,11.1111111111111,13.45,14.62,14.88,22.43,26.34,26.689155822489,0.47281697904463,0.49580584016978,0.50828430527082,0.51142576419936,0.57839175538424,0.59499630186696
10,10,12.18,13.21,13.5,20.6,24.3,24.565965965966,0.45410826200143,0.47685536545199,0.48900457438561,0.49236556995063,0.55911200778815,0.57688096948178
11,9.09090909090909,11.28,11.87,12.37,18.89,22.55,22.737937937938,0.43833008842034,0.46091610671896,0.4711710570182,0.47578622724938,0.54105924226197,0.55894439218784
12,8.33333333333333,10.32,10.89,11.43,17.4,20.94,21.278011344678,0.42421542417597,0.44640051462288,0.45656607183887,0.46152529248821,0.5244234366048,0.54402188166939
13,7.69230769230769,9.73,10.13,10.61,16.24,19.69,20.032499165832,0.41161837883761,0.43482877763421,0.44389808413427,0.44825560001989,0.51030173892245,0.52971090770353
14,7.14285714285714,9.05,9.5,9.9,15.36,18.67,18.985919252586,0.40091923059766,0.42253663675085,0.43229778138893,0.43654917520036,0.49818491411395,0.517277240379
15,6.66666666666667,8.41,8.69,9.23,14.41,17.54,17.809342676009,0.39065907816108,0.4120679020659,0.42055331411741,0.42602627584329,0.48634499661705,0.50463017416491
16,6.25,7.92,8.22,8.69,13.43,16.63,16.908775442109,0.38157427723785,0.4031947762965,0.41112261568729,0.41640665136433,0.47446494237702,0.49526970893929
17,5.88235294117647,7.53,7.77,8.19,12.76,15.94,16.142275608942,0.37292675399724,0.39496250140273,0.40227251112889,0.40739617019772,0.46483146281493,0.48545141008389
18,5.55555555555556,7.17,7.43,7.76,12.16,15.23,15.476076076076,0.36540135679507,0.38719643076765,0.39459133644461,0.39919996275014,0.45623055224222,0.47556658523275
19,5.26315789473684,6.84,7.06,7.41,11.44,14.63,14.819285952619,0.35819387636495,0.37959874971736,0.38746619699363,0.39166823058819,0.44668707106807,0.46667637702586
20,5,6.54,6.68,7.02,10.97,14.01,14.189122455789,0.35196549812213,0.37342017353221,0.3802468509715,0.38458502641481,0.43913189172238,0.45833486385348
21,4.76190476190476,6.28,6.44,6.72,10.52,13.48,13.591791791792,0.34557351803417,0.36719694380231,0.3737110388492,0.37828843282829,0.43182105506394,0.45190416987883
22,4.54545454545455,6.07,6.2,6.44,10.12,12.95,13.037704371038,0.33983903451334,0.36139566970979,0.36789670850054,0.37192199729079,0.42445032935976,0.44368573669723
23,4.34782608695652,5.8,5.92,6.15,9.6,12.53,12.591524858192,0.33471535009767,0.3558985996748,0.36165986701876,0.36623458898832,0.41728748121116,0.43670821754795
24,4.16666666666667,5.57,5.64,5.91,9.28,12.14,12.17991324658,0.32981226803207,0.35051234449526,0.35652681752227,0.36069858618382,0.4110865839403,0.43154611965051
25,4,5.38,5.44,5.67,9,11.69,11.743076409743,0.32502736210304,0.34560143763285,0.3515760542551,0.35570205238041,0.40563615070336,0.42495158461989
26,3.84615384615385,5.19,5.32,5.5,8.63,11.31,11.361761761762,0.32106032835226,0.34052534779151,0.34747141619649,0.35110731747812,0.39998091512912,0.41873466221815
27,3.7037037037037,5.02,5.03,5.28,8.31,10.87,10.873273273273,0.31726065985254,0.33659854701646,0.34253959802841,0.34639415535395,0.39458264425178,0.41342499586538
28,3.57142857142857,4.8,4.82,5.1,8.08,10.57,10.584250917584,0.31261142016272,0.33248146003078,0.33815844444325,0.34217748336683,0.38951337758482,0.40750259543134
29,3.44827586206897,4.71,4.64,4.93,7.94,10.26,10.23029696363,0.30909026364699,0.32850521199974,0.33415202789509,0.33790021833546,0.38529465353937,0.40299015150965
30,3.33333333333333,4.6,4.44,4.78,7.59,9.97,9.9614948281615,0.30554841719615,0.32541800587949,0.3299542018766,0.3345484231843,0.3798962814522,0.39786525899792
